编号,倒焊日期,芯片号,压连情况（-1，0，1，2）,电路端铟柱高度（μm）,芯片端铟柱高度（μm）,倒焊压力（kg）,倒焊机状态是否变更,铟柱上底（CD）,铟柱下底（CD）,调平方式,电路激光数据1,电路激光数据2,电路激光数据3,电路激光数据4,芯片激光数据1,芯片激光数据2,芯片激光数据3,芯片激光数据4,电路铟柱高度1,电路铟柱高度2,电路铟柱高度3,电路铟柱高度4,电路铟柱高度5,芯片铟柱高度1,芯片铟柱高度2,芯片铟柱高度3,芯片铟柱高度4,芯片铟柱高度5,设备开关机状态,设备报警代码,设备温度
1,2025.01.03,B241211-1-4# M1,0,6.56,6.61,22,,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
2,2025.01.16,B241211-1-1# M4,1,6.56,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.7℃
3,2025.01.16,B241211-1-1# M6,1,6.56,6.47,22,,5.16,11.1,十字,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.8℃
4,2025.01.17,B241211-1-4# M8,1,6.56,6.61,22,,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
5,2025.01.18,B241211-1-7# M1,0,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
6,2025.01.21,B241211-1-1# M1,0,6.56,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-865 T:19.8℃
7,2025.01.21,B241227-1-1# M3,0,6.56,6.34,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-963 T:19.8℃
8,2025.02.18,B241211-1-7# M4,1,5.85,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-872 T:19.8℃
9,2025.02.19,B241211-1-7# M6,1,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.8℃
10,2025.02.19,B241211-1-1# M7,1,5.85,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-873 T:19.8℃
11,2025.02.19,B241211-1-7# M7,0,6.56,6.38,22,,6.07,11.76,激光,,,,,,,,,,,,,,,,,,,,,真空度：-870 T:19.8℃
12,2025.02.19,B241211-1-1# M3,1,6.56,6.47,22,,5.16,11.1,十字,,,,,,,,,,,,,,,,,,,,,真空度：-870 T:19.8℃
13,2025.02.20,B241211-1-7# M8,1,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-875 T:19.8℃
14,2025.02.20,B241211-1-7# M9,1,6.56,6.38,22,,6.07,11.76,激光,,,,,,,,,,,,,,,,,,,,,真空度：-875 T:19.8℃
15,2025.02.23,B250102-1-4# M3,0,3.5-4.2,5.61,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-882 T:19.8℃
16,2025.02.26,B250102-1-4# M7,-1,5.85,5.61,18,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.8℃
17,2025.02.28,B250102-1-4# M5,1,5.85,5.61,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
18,2025.02.28,B250102-1-4# M6,0,5.85,5.61,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
19,2025.03.03,B250102-1-4# M1,0,5.85,5.61,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
20,2025.03.03,B250102-1-4# M2,1,5.85,5.61,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
21,2025.03.03,B250102-1-4# M8,0,5.85,5.61,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-864 T:19.9℃
22,2025.03.03,B250102-1-4# M9,0,5.85,5.61,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-864 T:19.8℃
23,2025.03.10,B250119-1-2# M7,1,5.85,6.04,22,,6.06,11.56,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.8℃
24,2025.03.10,B250119-1-3# M6,1,5.85,6.06,22,,6.05,11.45,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.8℃
25,2025.03.10,B250119-1-1# M2,1,5.85,5.96,22,,6.11,12.07,十字,,,,,,,,,,,,,,,,,,,,,真空度：-859 T:19.8℃
26,2025.03.11,B250119-1-1# M1,1,5.85,5.96,22,,6.11,12.07,十字,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.8℃
27,2025.03.13,B250119-1-1# M3,1,5.85,5.96,22,,6.11,12.07,十字,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
28,2025.03.13,B250119-1-1# M4,1,5.85,5.96,22,,6.11,12.07,十字,,,,,,,,,,,,,,,,,,,,,真空度：-865 T:19.8℃
29,2025.03.14,B250119-1-1# M5,0,5.85,5.96,22,,6.11,12.07,激光,,,,,,,,,,,,,,,,,,,,,真空度：-869 T:19.9℃
30,2025.03.14,B250119-1-1# M6,1,5.85,5.96,22,,6.11,12.07,激光,,,,,,,,,,,,,,,,,,,,,真空度：-870 T:19.9℃
31,2025.03.18,B250122-1-2# M3,1,5.85,6.18,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-871 T:19.8℃
32,2025.03.18,B250119-1-1# M7,1,5.85,5.96,22,,6.11,12.07,十字,,,,,,,,,,,,,,,,,,,,,真空度：-869 T:19.8℃
33,2025.03.19,B250119-1-3# M4,1,5.85,6.06,22,,6.05,11.45,激光,,,,,,,,,,,,,,,,,,,,,真空度：-871 T:20.2℃
34,2025.03.19,B250119-1-3# M2,1,5.85,6.06,22,,6.05,11.45,十字,,,,,,,,,,,,,,,,,,,,,真空度：-871 T:19.8℃
35,2025.03.19,B250119-1-3# M5,1,5.85,6.06,22,,6.05,11.45,激光,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
36,2025.03.24,B250122-1-2# M6,1,5.85,6.18,20,,5.64,11.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:19.9℃
37,2025.03.24,B250118-1-2# M3,1,5.38,6.15,20,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:19.9℃
38,2025.03.26,B250122-1-2# M2,1,5.38,6.18,22,,5.64,11.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:19.9℃
39,2025.03.27,B250122-1-2# M5,1,5.38,6.18,22,,5.64,11.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-864 T:19.8℃
40,2025.03.27,B250118-1-2# M4,1,5.38,6.15,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.9℃
41,2025.03.27,B250122-1-2# M4,1,5.38,6.18,22,,5.64,11.59,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.9℃
42,2025.03.27,B250118-1-2# M5,2,5.38,6.15,22,,6.95,12.7,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.9℃
43,2025.03.27,B250118-1-2# M6,1,5.85,6.15,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-868 T:19.9℃
44,2025.03.31,B250102-1-10# M4,0,5.38,5.99,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-867 T:19.9℃
45,2025.04.01,B250118-1-2# M8,1,5.85,6.15,22,,6.95,12.7,十字,,,,,,,,,,,,,,,,,,,,,真空度：-961 T:19.9℃
46,2025.04.08,B250118-1-2# M9,1,5.85,6.15,22,,6.95,12.7,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.9℃
47,2025.04.08,B250102-1-10# M5,1,6.05,5.99,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:19.9℃
48,2025.04.14,B250120-1-2# M5,1,5.85,6.88,22,,6.35,11.72,十字,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.8℃
49,2025.04.14,B250120-1-2# M6,1,5.85,6.88,22,,6.35,11.72,激光,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.8℃
50,2025.04.14,B250120-1-2# M7,1,6.05,6.88,22,,6.35,11.72,十字,,,,,,,,,,,,,,,,,,,,,真空度：-859 T:20.0℃
51,2025.04.15,B250102-1-10# M6,1,6.05,5.99,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-858 T:19.9℃
52,2025.04.15,B250120-1-2# M4,1,6.05,6.88,22,,6.35,11.72,十字,,,,,,,,,,,,,,,,,,,,,真空度：-859 T:20.0℃
53,2025.04.15,B250120-1-2# M9,1,6.05,6.88,22,,6.35,11.72,十字,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:19.9℃
54,2025.04.15,B250119-1-5# M7,1,6.05,6.25,22,,6.63,9.71,十字,,,,,,,,,,,,,,,,,,,,,真空度：-854 T:20.1℃
55,2025.04.15,B250119-1-5# M8,1,6.05,6.25,22,,6.63,9.71,十字,,,,,,,,,,,,,,,,,,,,,真空度：-854 T:20.0℃
56,2025.04.16,B250120-1-3# M6,1,6.05,6.28,22,,7.11,11.89,十字,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.8℃
57,2025.04.16,B250120-1-3# M2,1,6.05,6.28,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:19.8℃
58,2025.04.16,B250120-1-3# M8,0,6.05,6.28,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:20.0℃
59,2025.04.16,B250120-1-3# M9,1,6.05,6.28,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.8℃
60,2025.04.21,B250318-1-5# M1,1,6.05,6.2,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:20.1℃
61,2025.04.21,B250318-1-2# M2(小),1,6.05,6.6,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:20.0℃
62,2025.04.21,B250318-1-2# M2(大),1,6.05,6.6,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:20.2℃
63,2025.04.22,B250318-1-5# M2,1,6.05,6.2,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-864 T:19.9℃
64,2025.04.22,B250318-1-2# M5(小),1,6.05,6.6,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.9℃
65,2025.05.16,B250417-1-4 M1,0,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.9℃
66,2025.05.16,B250417-1-4 M2,1,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:20.0℃
67,2025.05.16,B250417-1-4 M3,1,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:20.0℃
68,2025.05.16,B250417-1-4 M4,1,6.05,6.42,22,,5.77,10.58,十字,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:20.0℃
69,2025.05.16,B250417-1-4 M5,1,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:20.0℃
70,2025.05.21,B250417-1-5 M1,0,6.05,6.32,22,,5.28,10.53,十字,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.8℃
71,2025.05.21,B250417-1-4 M6,1,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.9℃
72,2025.05.21,B250417-1-4 M7,1,6.05,6.42,22,,5.77,10.58,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:20.0℃
73,2025.05.22,B250417-1-5 M4,1,6.05,6.32,22,,5.28,10.53,十字,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.9℃
74,2025.05.22,B250417-1-4 M9,2,6.05,6.42,22,,5.77,10.58,十字,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:20.0℃
75,2025.05.22,B250417-1-5 M5,1,6.05,6.32,22,,5.28,10.53,激光,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:19.9℃
76,2025.05.22,B250417-1-5 M6,1,6.05,6.32,22,,5.28,10.53,激光,,,,,,,,,,,,,,,,,,,,,真空度：-862 T:20.1℃
77,2025.05.22,B250425-1-2 M2,1,6.05,6.38,21,,5.21,10.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:20.1℃
78,2025.05.24,B250417-1-5 M7,2,6.05,6.32,20,,5.28,10.53,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:20.0℃
79,2025.05.27,B250417-1-5 M9,1,6.05,6.32,22,,5.28,10.53,激光,,,,,,,,,,,,,,,,,,,,,真空度：-859 T:20.9℃
80,2025.05.27,B250417-1-5 M8,1,5.62,6.32,22,,5.28,10.53,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.9℃
81,2025.05.27,B250425-1-2 M1,1,5.62,6.38,22,,5.21,10.59,十字,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:19.9℃
82,2025.05.27,B250425-1-2 M3,1,5.62,6.38,22,,5.21,10.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-860 T:20.0℃
83,2025.05.28,B250425-1-2 M4,1,5.62,6.38,22,,5.21,10.59,十字,,,,,,,,,,,,,,,,,,,,,真空度：-861 T:19.9℃
84,2025.05.28,B250425-1-2 M8,1,5.62,6.38,20,,5.21,10.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-858 T:19.9℃
85,2025.05.29,B250425-1-2 M8,1,5.62,6.2,22,,5.21,10.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-858 T:19.9℃
86,2025.6.3,B250425-1-2 M6,1,5.62,6.38,22,,5.21,10.59,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.9℃
87,2025.6.4,B250425-1-2 M7,1,5.62,6.38,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:19.9℃
88,2025.6.13,B250512-1-2,1,6.05,5.53,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.8℃
89,2025.6.19,B250609-1-1 M1,0,5.18,6.21,22,,6.63,10.91,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:20.0℃
90,2025.6.23,B250512-1-3 左,1,5.18,6.19,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-854 T:19.9℃
91,2025.6.24,B250527-1-2 M7,1,5.18,6.57,22,,4.21,10.25,激光,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:19.9℃
92,2025.7.2,B250318-1-5 M9,1,5.62,6.2,22,,2.47,10.89,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.8℃
93,2025.7.2,B250318-1-2 M4(小),1,6.05,6.6,22,,2.83,10.15,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
94,2025.7.2,B250318-1-2 M4(大),1,6.05,6.6,22,,2.83,10.15,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
95,2025.7.4,B250318-1-5 M7,0,5.62,6.2,22,,2.47,10.89,十字,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
96,2025.7.4,B250318-1-5 M8,1,5.62,6.2,22,,2.47,10.89,十字,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:20.0℃
97,2025.7.4,B250318-1-5 M6,0,5.18,6.2,22,,2.47,10.89,十字,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:19.9℃
98,2025.7.4,B250318-1-5 M5,1,5.18,6.2,22,,2.47,10.89,激光,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:19.9℃
99,2025.7.8,B250527-1-3 M1,2,5.18,6.09,22,,5.05,11.23,十字,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:20.0℃
100,2025.7.8,B250527-1-3 M2,1,5.62,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:20.0℃
101,2025.7.9,B250318-1-2 M6(大),1,5.62,6.6,22,,2.83,10.15,激光,,,,,,,,,,,,,,,,,,,,,真空度：-853 T:19.9℃
102,2025.7.9,B250318-1-5 M4,1,5.18,6.2,22,,2.47,10.89,激光,,,,,,,,,,,,,,,,,,,,,真空度：-853 T:19.9℃
103,2025.7.10,B250527-1-3 M3,0,5.62,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:19.9℃
104,2025.7.10,B250318-1-9 M2,0,5.62,6.16,22,,4.51,10.17,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:19.8℃
105,2025.7.10,B250527-1-3 M4,0,5.62,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-854 T:19.8℃
106,2025.7.11,B250318-1-9 M4,1,5.18,6.16,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-856 T:20.0℃
107,2025.7.11,B250527-1-3 M5,2,5.18,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:20.0℃
108,2025.7.11,B250318-1-2 M6(小),1,6.05,6.6,22,,2.83,10.15,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:20.0℃
109,2025.7.15,B250527-1-3 M7,2,5.18,6.09,22,,5.05,11.23,十字,,,,,,,,,,,,,,,,,,,,,真空度：-842 T:20.1℃
110,2025.7.15,B250318-1-9 M6,0,5.85,6.16,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-842 T:20.0℃
111,2025.7.15,B250318-1-9 M5,0,5.85,6.16,22,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-842 T:20.1℃
112,2025.7.15,B250527-1-3 M6,0,5.62,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-842 T:20.0℃
113,2025.7.16,B250527-1-3 M8,1,5.85,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.9℃
114,2025.7.16,B250527-1-5 M8,0,5.85,6.21,22,,6.87,10.93,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
115,2025.7.16,B250326-1-4 M1,0,5.18,6.65,22,,6.39,10.47,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
116,2025.7.18,B250527-1-3 M9,0,5.85,6.09,22,,5.05,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.9℃
117,2025.7.18,B250318-1-9 M7,1,5.85,6.16,22,,4.51,10.17,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
118,2025.7.18,B250318-1-9 M8,2,5.85,6.16,22,,4.51,10.17,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
119,2025.7.18,B250318-1-9 M9,0,5.18,6.16,24,,4.51,10.17,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:20.0℃
120,2025.7.21,B250527-1-5 M1,1,5.18,6.21,24,,6.87,10.93,激光,,,,,,,,,,,,,,,,,,,,,真空度：-855 T:19.9℃
121,2025.7.21,B250326-1-3-B M2,1,5.18,6.79,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-854 T:19.9℃
122,2025.7.21,B250527-1-5 M2,2,5.18,6.21,24,,6.87,10.93,激光,,,,,,,,,,,,,,,,,,,,,真空度：-853 T:19.9℃
123,2025.7.21,B250425-1-6-B M2,0,5.18,6.27,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.9℃
124,2025.7.24,B250527-1-5 M4,2,5.18,6.21,24,,6.87,10.93,激光,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:20.0℃
125,2025.7.24,B250326-1-4 M2,1,5.18,6.65,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
126,2025.7.24,B250318-1-9 M1,1,5.85,6.16,24,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
127,2025.7.24,B250326-1-3 M4,2,5.18,6.79,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:20.0℃
128,2025.07.25,B250318-1-9 M3,1,5.85,6.65,24,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
129,2025.07.25,B250527-1-5 M5,2,5.18,6.21,24,,6.87,10.93,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
130,2025.07.25,B250527-1-5 M6,2,5.18,6.21,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
131,2025.07.25,B250425-1-7 M2,1,5.18,6.18,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-845 T:20.0℃
132,2025.07.25,B250520-1-3-A M1,0,5.18,6.1,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-845 T:20.0℃
133,2025.07.25,B250417-1-6 M1,0,5.18,6.08,24,,6.27,10.26,十字,,,,,,,,,,,,,,,,,,,,,真空度：-846 T:19.9℃
134,2025.07.30,B250417-1-6 M4,1,5.31,6.08,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:19.8℃
135,2025.07.30,B250425-1-6 M1,0,5.31,6.27,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:19.9℃
136,2025.07.31,B250425-1-6 M6,0,5.31,6.27,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.9℃
137,2025.07.31,B250425-1-6 M3,2,5.31,6.27,24,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:20.0℃
138,2025.08.01,B250425-1-6 M8,2,5.31,6.27,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-846 T:19.8℃
139,2025.08.01,B250425-1-6 M7,2,5.31,6.27,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-845 T:19.9℃
140,2025.08.01,B250425-1-6 M9,1,5.31,6.27,24,,,,十字,,,,,,,,,,,,,,,,,,,,,真空度：-845 T:19.9℃
141,2025.08.04,B250417-1-6 M5,1,5.31,6.08,24,,6.27,10.26,激光,,,,,,,,,,,,,,,,,,,,,真空度：-845 T:19.9℃
142,2025.08.04,B250417-1-6 M3,1,5.31,6.08,24,,6.27,10.26,十字,,,,,,,,,,,,,,,,,,,,,真空度：-844 T:19.9℃
143,2025.08.05,B250520-1-3 M2,1,5.31,6.1,24,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-843 T:19.8℃
144,2025.08.05,B250425-1-7 M1,2,5.31,6.08,24,,6.3,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.8℃
145,2025.08.05,B250425-1-7 M4,1,5.31,6.08,24,,6.3,11.23,十字,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.9℃
146,2025.08.05,B250425-1-7 M8,2,5.31,6.08,24,,6.3,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:19.9℃
147,2025.08.05,B250425-1-7 M3,1,5.31,6.08,24,,6.3,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:19.9℃
148,2025.08.06,B250425-1-7 M7,2,5.31,6.08,24,,6.3,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:20.0℃
149,2025.08.07,B250425-1-7 M5,1,5.31,6.08,24,,6.3,11.23,激光,,,,,,,,,,,,,,,,,,,,,真空度：-852 T:19.8℃
150,2025.08.07,B250425-1-7 M9,1,5.31,6.08,24,,6.3,11.23,激光,150.88,149.88,147.93,148.75,170.66,168.68,168.45,169.16,5.316 ,5.285 ,5.331 ,5.354 ,5.258 ,5.997 ,6.040 ,6.075 ,6.096 ,6.179 ,,,真空度：-851 T:19.9℃
151,2025.08.07,B250417-1-6 M6,1,5.31,6.08,24,,6.27,10.26,激光,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:19.9℃
152,2025.08.07,B250417-1-6 M7,2,5.31,6.08,24,,6.27,10.26,激光,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:21.5℃
153,2025.08.07,B250417-1-6 M8,2,5.31,6.08,24,,6.27,10.26,激光,,,,,,,,,,,,,,,,,,,,,真空度：-851 T:20.2℃
154,2025.08.07,B250417-1-6 M9,1,5.31,6.08,24,,6.27,10.26,激光,,,,,,,,,,,,,,,,,,,,,真空度：-850 T:19.9℃
155,2025.08.07,B250520-1-3 M3,1,5.31,6.1,24,,7.24,11.01,激光,149.81,148.14,148.19,150.19,169.5,169.81,170.71,170.73,5.316 ,5.285 ,5.331 ,5.354 ,5.258 ,6.147 ,6.108 ,5.947 ,6.076 ,6.057 ,,,真空度：-848 T:20.2℃
156,2025.08.08,B250520-1-3 M5,1,5.31,6.1,24,,7.24,11.01,激光,150.06,148.25,147.12,148.52,168.41,169.34,170.05,168.76,5.316 ,5.285 ,5.331 ,5.354 ,5.258 ,6.147 ,6.108 ,5.947 ,6.076 ,6.057 ,,,真空度：-848 T:19.9℃
157,2025.08.08,B250520-1-3 M6,1,5.31,6.1,24,,7.24,11.01,激光,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:19.9℃
158,2025.08.08,B250520-1-3 M4,1,5.31,6.1,24,,7.24,11.01,激光,,,,,,,,,,,,,,,,,,,,,真空度：-847 T:20.1℃
159,2025.08.08,B250520-1-3 M8,1,5.31,6.1,24,,7.24,11.01,激光,,,,,,,,,,,,,,,,,,,,,真空度：-848 T:20.0℃
160,2025.08.08,B250520-1-3 M7,2,5.31,6.1,24,,7.24,11.01,激光,150.49,150.13,149.13,150.07,168.87,170.74,170.85,169.44,5.316 ,5.285 ,5.331 ,5.354 ,5.258 ,6.147 ,6.108 ,5.947 ,6.076 ,6.057 ,,,真空度：-848 T:20.0℃
161,2025.08.08,B250520-1-3 M9,1,5.31,6.1,24,,7.24,11.01,激光,,,,,,,,,,,,,,,,,,,,,真空度：-849 T:19.9℃
